FeatureValue   |   Average TimeWithMD
       7473      |       17.5      
       3379      |       15.0      
       1333      |       77.0      
       3382      |       14.0      
       11576      |       15.0      
       7482      |       40.6666666667      
       11487      |       15.0      
       5436      |       17.0      
       7486      |       27.0      
       1346      |       17.5      
       10956      |       11.25      
       3400      |       16.875      
       1353      |       17.7954545455      
       1354      |       15.0      
       10125      |       34.0      
       3408      |       15.0      
       3409      |       23.0      
       3299      |       10.0      
       3300      |       16.3333333333      
       11612      |       18.0      
       1373      |       18.2      
       3301      |       15.8333333333      
       1376      |       25.2222222222      
       5473      |       30.0      
       3428      |       19.1930294906      
       11621      |       20.0      
       3431      |       19.3387096774      
       572      |       15.0      
       3434      |       18.9      
       1387      |       34.0      
       1389      |       40.0      
       11630      |       27.5      
       3439      |       18.8461538462      
       1393      |       16.0      
       4138      |       11.75      
       391      |       16.6666666667      
       4329      |       15.5      
       7546      |       12.0      
       1406      |       30.0      
       54655      |       17.6666666667      
       3456      |       16.75      
       3457      |       22.3333333333      
       1259      |       14.0      
       5508      |       24.9583333333      
       4275      |       20.3333333333      
       11654      |       29.3333333333      
       3463      |       15.0      
       4332      |       26.3395061728      
       11159      |       16.0      
       1411      |       20.0      
       5518      |       15.0      
       3309      |       15.5      
       3472      |       33.0      
       4442      |       22.0      
       3474      |       15.0      
       1427      |       8.5      
       3478      |       15.0      
       11671      |       16.6666666667      
       5529      |       24.0      
       71066      |       50.0      
       5465      |       29.0      
       11258      |       30.0      
       1139      |       17.3333333333      
       11684      |       15.0      
       1445      |       12.5      
       11686      |       20.0      
       7409      |       32.5      
       3498      |       15.0      
       11697      |       11.5      
       3506      |       21.75      
       1461      |       39.5      
       11702      |       25.0      
       11703      |       25.125      
       11508      |       54.0      
       11706      |       34.0      
       11710      |       20.0      
       1473      |       30.0      
       3524      |       10.0      
       4342      |       10.8888888889      
       11727      |       44.0      
       3536      |       13.0      
       4344      |       19.5      
       11730      |       20.4210526316      
       3541      |       50.8      
       3546      |       14.0      
       7646      |       10.0      
       933      |       39.2857142857      
       11748      |       20.8333333333      
       3561      |       18.6666666667      
       3562      |       12.5      
       4824      |       20.7619047619      
       11759      |       8.0      
       3569      |       30.0      
       7668      |       15.0      
       254      |       10.0      
       11769      |       10.0      
       5626      |       15.0      
       219      |       35.0      
       5630      |       13.0      
       5717      |       15.0      
       5633      |       11.125      
       53380      |       39.0      
       5635      |       16.2      
       5646      |       15.0      
       3600      |       10.0      
       11523      |       20.0      
       260      |       60.0      
       5659      |       15.0      
       3613      |       15.0      
       7048      |       10.0      
       52775      |       18.5      
       1348      |       23.75      
       3625      |       15.0      
       4349      |       5.0      
       11646      |       10.0      
       3640      |       18.3333333333      
       3641      |       10.4285714286      
       5690      |       11.3333333333      
       5691      |       33.0      
       3644      |       28.0      
       1290      |       19.4666666667      
       3646      |       27.5      
       5696      |       26.4      
       3650      |       10.0      
       3655      |       12.5      
       268      |       15.0      
       4451      |       21.6666666667      
       3664      |       17.5      
       3665      |       15.0      
       50770      |       21.619047619      
       10510      |       15.0      
       5719      |       18.0      
       3680      |       30.0      
       3682      |       19.0      
       273      |       25.9      
       5736      |       11.6666666667      
       3689      |       15.0      
       3690      |       15.0      
       4711      |       24.5      
       3692      |       35.0      
       191      |       15.0      
       4839      |       15.0      
       3702      |       12.5      
       1283      |       20.0      
       54922      |       15.0      
       279      |       20.0      
       10520      |       15.0      
       5781      |       21.8787878788      
       5782      |       30.0      
       3735      |       15.0      
       4898      |       20.0      
       1375      |       15.0      
       3744      |       17.875      
       1307      |       16.6666666667      
       10013      |       12.5      
       7110      |       12.5      
       3752      |       23.75      
       57001      |       15.0      
       50860      |       12.8      
       626      |       12.8461538462      
       5806      |       0.0      
       5807      |       18.6363636364      
       4285      |       15.0      
       5813      |       19.25      
       440      |       20.0      
       56265      |       19.0      
       3768      |       15.1333333333      
       5817      |       20.7666666667      
       3770      |       25.0      
       3775      |       17.5      
       57024      |       33.3333333333      
       4785      |       15.5      
       3781      |       20.8548387097      
       3782      |       15.8571428571      
       3783      |       20.0      
       3784      |       28.2105263158      
       876      |       45.0      
       57034      |       15.0      
       5835      |       18.6666666667      
       3788      |       20.0      
       10530      |       26.1666666667      
       51675      |       58.3333333333      
       7459      |       15.0      
       5847      |       19.5714285714      
       6831      |       15.0      
       57050      |       24.6666666667      
       5851      |       16.3636363636      
       3804      |       29.4444444444      
       3805      |       22.8      
       3807      |       20.4734848485      
       3808      |       50.0      
       3809      |       28.15625      
       3810      |       36.875      
       195      |       23.1428571429      
       3818      |       18.2857142857      
       3819      |       22.7777777778      
       3820      |       19.7708333333      
       3821      |       22.9523809524      
       3824      |       20.0      
       3368      |       25.5555555556      
       3826      |       19.5652173913      
       3827      |       18.3103448276      
       3828      |       18.3409090909      
       3829      |       20.8387096774      
       3830      |       19.3043478261      
       5879      |       15.0      
       3832      |       21.6388888889      
       3833      |       27.25      
       3835      |       15.0      
       7466      |       20.0      
       3838      |       19.1836734694      
       3839      |       28.75      
       54275      |       15.0      
       299      |       16.6666666667      
       57092      |       15.0      
       3847      |       20.1978021978      
       5896      |       20.0      
       3849      |       20.5303030303      
       3850      |       21.25      
       5899      |       15.7142857143      
       60      |       16.4166666667      
       401      |       30.0      
       3857      |       16.5      
       55061      |       60.0      
       3862      |       29.5      
       3864      |       20.0526315789      
       10009      |       15.0      
       3866      |       21.0      
       303      |       16.4      
       10387      |       15.0      
       986      |       20.25      
       5694      |       15.0      
       3873      |       23.8857142857      
       3874      |       20.0      
       7132      |       15.0      
       3882      |       20.0      
       3884      |       38.0      
       402      |       17.5      
       1425      |       22.0      
       10427      |       9.0      
       10018      |       0.0      
       4746      |       29.0      
       3381      |       15.0      
       10051      |       16.0      
       8004      |       22.6666666667      
       7137      |       15.0      
       8012      |       20.0      
       8013      |       37.0      
       10678      |       10.0      
       653      |       22.2307692308      
       3922      |       25.0      
       5973      |       18.0      
       11135      |       15.0      
       8027      |       15.0      
       8028      |       15.0      
       8029      |       15.0      
       5982      |       13.0      
       7496      |       15.0      
       8034      |       24.0      
       4753      |       18.65      
       3388      |       25.0      
       3204      |       16.5454545455      
       4228      |       15.0      
       8051      |       15.0      
       1002      |       20.0      
       52885      |       19.1428571429      
       1003      |       21.0      
       3973      |       30.0      
       3974      |       23.6666666667      
       4417      |       47.0      
       3977      |       22.5      
       4224      |       15.0      
       322      |       28.0      
       8079      |       15.0      
       7634      |       10.0      
       3985      |       7.0      
       10133      |       14.3333333333      
       3990      |       18.1176470588      
       3396      |       18.0      
       11756      |       15.0      
       10142      |       9.0      
       59717      |       24.0      
       4003      |       16.3333333333      
       10150      |       9.0      
       4008      |       20.0      
       4009      |       40.0      
       4010      |       19.2857142857      
       4011      |       21.7777777778      
       4012      |       20.6666666667      
       4014      |       15.0      
       4015      |       16.25      
       4017      |       15.7435897436      
       10163      |       16.6666666667      
       4021      |       8.0      
       53175      |       18.0      
       4025      |       31.5483870968      
       4026      |       13.0      
       10171      |       0.0      
       10172      |       10.0      
       4032      |       17.5      
       4035      |       23.3553719008      
       4037      |       21.0      
       4038      |       22.3333333333      
       4040      |       21.3913043478      
       4047      |       20.0      
       4048      |       24.5555555556      
       4049      |       7.0      
       4050      |       25.4482758621      
       4052      |       15.0      
       4054      |       15.0      
       4056      |       20.0      
       4057      |       15.0      
       4058      |       15.2      
       286      |       8.33333333333      
       7162      |       23.0      
       4065      |       10.0      
       4066      |       22.1764705882      
       1019      |       27.0      
       4068      |       22.1538461538      
       1309      |       30.0      
       4433      |       45.0      
       4076      |       24.6666666667      
       4787      |       20.0      
       4432      |       25.0      
       3411      |       31.0      
       11320      |       22.5      
       4090      |       14.0      
