FeatureValue   |   Average TimeWithMD
       2545      |       21.0      
       937      |       13.125      
       938      |       15.9047619048      
       2987      |       30.5384615385      
       3100      |       12.6923076923      
       943      |       16.8      
       2888      |       25.5555555556      
       947      |       18.6428571429      
       948      |       20.6129032258      
       2206      |       50.0      
       951      |       17.7272727273      
       2548      |       23.6666666667      
       3002      |       15.0      
       3231      |       11.75      
       956      |       22.1739130435      
       957      |       21.4411764706      
       3006      |       26.6666666667      
       3007      |       18.8333333333      
       960      |       18.0      
       3009      |       17.5      
       963      |       20.0      
       964      |       18.025      
       3013      |       15.9210526316      
       967      |       21.48      
       968      |       32.5      
       969      |       24.3023255814      
       973      |       19.8571428571      
       974      |       17.5      
       3024      |       15.0      
       2552      |       16.935483871      
       980      |       15.7037037037      
       981      |       19.9180327869      
       3306      |       26.5      
       2688      |       16.5909090909      
       987      |       20.2413793103      
       3036      |       16.5      
       990      |       13.75      
       2213      |       19.3846153846      
       992      |       17.0714285714      
       994      |       29.8      
       3043      |       15.0      
       997      |       16.1739130435      
       999      |       14.6      
       1000      |       19.5454545455      
       1003      |       19.0      
       1004      |       15.5      
       1005      |       19.4680851064      
       1006      |       14.7714285714      
       2557      |       30.5263157895      
       1008      |       11.4      
       1009      |       9.80769230769      
       3061      |       16.8636363636      
       3063      |       15.0      
       1016      |       15.0      
       2559      |       27.8571428571      
       3068      |       35.3703703704      
       1022      |       16.6666666667      
       3071      |       20.3333333333      
       1025      |       15.0      
       1026      |       45.0      
       1027      |       17.9705882353      
       2902      |       15.0      
       1030      |       24.9666666667      
       1031      |       17.9259259259      
       1032      |       18.9285714286      
       1033      |       18.5714285714      
       1034      |       18.9722222222      
       1037      |       18.5      
       1038      |       15.0769230769      
       1043      |       15.8620689655      
       6104      |       19.6774193548      
       3093      |       6.11111111111      
       1047      |       19.8571428571      
       1048      |       12.1666666667      
       1050      |       17.7027027027      
       3247      |       15.652173913      
       1052      |       15.0666666667      
       1053      |       12.5      
       1054      |       16.0952380952      
       1056      |       16.7169811321      
       3106      |       16.4705882353      
       1059      |       21.7666666667      
       3109      |       15.8      
       1062      |       16.0      
       1063      |       15.0      
       1064      |       12.1739130435      
       1065      |       13.85      
       1066      |       20.7575757576      
       2695      |       44.2941176471      
       1069      |       14.4722222222      
       6855      |       15.0      
       3411      |       19.4545454545      
       1072      |       19.4642857143      
       1073      |       15.0      
       1074      |       15.0      
       1075      |       13.2      
       1078      |       22.3684210526      
       1079      |       14.375      
       1080      |       18.3      
       1081      |       16.8      
       1083      |       22.9166666667      
       1085      |       16.6666666667      
       3135      |       20.0      
       3137      |       16.0666666667      
       1091      |       20.2173913043      
       3141      |       48.0      
       3185      |       21.2222222222      
       1097      |       19.6785714286      
       1098      |       18.5714285714      
       3255      |       44.5454545455      
       2914      |       12.9230769231      
       2573      |       30.25      
       3152      |       38.0769230769      
       1106      |       20.7894736842      
       1107      |       20.2173913043      
       3156      |       20.7692307692      
       6363      |       20.9090909091      
       1111      |       50.4545454545      
       3375      |       24.2631578947      
       3163      |       28.8333333333      
       1116      |       17.2272727273      
       1118      |       16.25      
       1119      |       18.3888888889      
       3168      |       29.8095238095      
       1121      |       15.0      
       1122      |       12.9285714286      
       1123      |       20.2105263158      
       1124      |       30.8333333333      
       1126      |       12.2222222222      
       3176      |       54.5454545455      
       3177      |       41.7647058824      
       7015      |       22.1428571429      
       6595      |       15.0      
       1134      |       23.1428571429      
       1135      |       15.0      
       1136      |       40.0      
       1137      |       13.6363636364      
       3187      |       16.3636363636      
       1140      |       27.1935483871      
       1141      |       20.5      
       1143      |       30.9090909091      
       3192      |       26.6666666667      
       1145      |       20.4545454545      
       1146      |       12.6315789474      
       1147      |       27.2777777778      
       6994      |       15.1111111111      
       3198      |       28.7391304348      
       1151      |       15.0      
       1152      |       14.1666666667      
       1153      |       9.10714285714      
       1154      |       16.3333333333      
       1156      |       15.7692307692      
       2582      |       28.4545454545      
       1158      |       18.4782608696      
       3209      |       36.0      
       3210      |       37.0      
       3332      |       25.5      
       1164      |       19.6428571429      
       1165      |       21.6666666667      
       3214      |       14.75      
       3215      |       31.0540540541      
       1168      |       19.8888888889      
       3217      |       21.0526315789      
       3221      |       30.0      
       6725      |       15.0      
       2244      |       24.96      
       2927      |       23.962962963      
       1183      |       14.2307692308      
       1186      |       20.8421052632      
       2587      |       60.0      
       3238      |       15.8571428571      
       2588      |       37.275862069      
       3242      |       43.4545454545      
       3243      |       18.5365853659      
       1197      |       24.2857142857      
       1199      |       15.3571428571      
       1201      |       20.25      
       1202      |       27.6956521739      
       1203      |       16.875      
       3254      |       27.8571428571      
       1207      |       19.4285714286      
       1209      |       17.5      
       1211      |       19.3529411765      
       2768      |       8.0      
       1213      |       23.2380952381      
       3268      |       16.6666666667      
       1221      |       15.5      
       1223      |       20.4166666667      
       6343      |       15.0      
       1225      |       26.2272727273      
       3274      |       21.4285714286      
       3275      |       13.3928571429      
       3276      |       26.0714285714      
       3278      |       20.3333333333      
       6383      |       18.9230769231      
       2936      |       43.75      
       1234      |       20.0      
       1237      |       15.9166666667      
       1238      |       14.1666666667      
       2937      |       20.1515151515      
       1240      |       31.8181818182      
       3290      |       21.0      
       1243      |       21.9642857143      
       1244      |       21.375      
       1245      |       36.0      
       1247      |       19.8837209302      
       1248      |       23.68      
       1250      |       26.0      
       7035      |       17.5      
       3300      |       16.875      
       1254      |       28.3333333333      
       1256      |       15.0      
       2940      |       34.0      
       2736      |       24.3333333333      
       1259      |       21.4285714286      
       1260      |       29.7222222222      
       1261      |       28.275862069      
       3310      |       25.0      
       1263      |       19.2857142857      
       3312      |       21.9230769231      
       1265      |       12.9166666667      
       1267      |       20.0      
       1269      |       21.8      
       2429      |       37.4375      
       1281      |       25.0      
       1283      |       12.8260869565      
       2634      |       8.46153846154      
       3286      |       52.1666666667      
       1288      |       10.0      
       1289      |       16.5      
       1291      |       16.5714285714      
       3340      |       40.0      
       2946      |       61.6956521739      
       2839      |       36.8181818182      
       3346      |       33.75      
       2947      |       44.3333333333      
       1300      |       13.303030303      
       1303      |       31.4705882353      
       1304      |       9.5      
       3353      |       27.2727272727      
       2607      |       48.0      
       1308      |       15.0      
       3385      |       22.1621621622      
       6863      |       15.0      
       1311      |       16.2916666667      
       1312      |       18.8709677419      
       1313      |       18.4848484848      
       1315      |       18.1785714286      
       3234      |       15.0      
       1317      |       17.6578947368      
       2941      |       25.0      
       3347      |       24.8333333333      
       1321      |       19.6296296296      
       3370      |       20.8928571429      
       1323      |       15.3846153846      
       3372      |       23.2258064516      
       1327      |       15.0      
       1328      |       18.75      
       1329      |       14.0476190476      
       1330      |       15.0      
       3379      |       30.0      
       3380      |       45.0      
       3381      |       43.75      
       1335      |       14.4      
       1336      |       16.1428571429      
       1337      |       16.6666666667      
       6864      |       16.5625      
       3389      |       30.0625      
