------------------------------------------
Visualizes the field specified in tools/parser
------------------------------------------
Lines processed: 32281
[0;32mData parsed; constructing histogram [0m
Visualizes a single field's distribution via histogram over a given dataset.
Number of distinct points:  1170
    Field    :    Count  			   
----------------------------------------
   a11477    :     9    
   a11621    :     3    
   a10972    :     2    
   d04275    :     7    
   d01008    :     2    
   d01275    :     1    
   d05813    :     4    
   n09010    :     2    
   d00170    :     588    
   d05635    :     7    
   d00653    :     19    
   c00129    :     4    
   d00910    :     106    
   d00049    :     247    
   d05395    :     3    
   d03208    :     26    
   d00022    :     212    
   d03690    :     1    
   c00187    :     6    
   d05278    :     1    
   d04113    :     102    
   a10001    :     3    
   d00041    :     15    
   a11185    :     1    
   d04293    :     34    
   d03807    :     240    
   d00809    :     1    
   c00087    :     1    
   a11030    :     4    
   d05525    :     2    
   d05355    :     124    
   d05691    :     1    
   d04915    :     1    
   d04099    :     50    
   a10455    :     5    
   d03431    :     140    
   d00312    :     1    
   d00182    :     18    
   d00177    :     1    
   d00877    :     1    
   d00962    :     2    
   d04028    :     1    
   d00072    :     5    
   d01156    :     1    
   d04611    :     156    
   d00861    :     2    
   d00563    :     45    
   d00125    :     3    
   d01138    :     3    
   a55310    :     1    
   d04767    :     1    
   a59603    :     9    
   d04785    :     14    
   d04717    :     8    
   d04773    :     23    
   d04787    :     3    
   a11302    :     1    
   d00123    :     5    
   n08079    :     1    
   d04035    :     104    
   d03360    :     2    
   n08021    :     1    
   d00248    :     30    
   d07110    :     4    
   a11703    :     18    
   d04066    :     17    
   d05283    :     10    
   d00185    :     1    
   d03821    :     37    
   d00108    :     50    
   a11041    :     25    
   a11343    :     1    
   d03773    :     2    
   d04223    :     90    
   a71021    :     3    
   d03369    :     9    
   d04675    :     4    
   d04289    :     99    
   n08191    :     1    
   d04233    :     13    
   a11585    :     1    
   d00191    :     1    
   d01208    :     10    
   a07002    :     2    
   a11523    :     5    
   d04459    :     2    
   d03258    :     8    
   d00412    :     10    
   d01002    :     1    
   d05465    :     1    
   d00999    :     24    
   d00003    :     4    
   d04824    :     17    
   d04010    :     2    
   a10665    :     5    
   d03828    :     80    
   d00013    :     53    
   d07453    :     1    
   d00265    :     5    
   d00103    :     23    
   a54555    :     19    
   d04224    :     1    
   d01293    :     10    
   d00345    :     13    
   d00425    :     14    
   a11721    :     1    
   d01187    :     1    
   d00199    :     8    
   d04204    :     1    
   d00322    :     3    
   d01238    :     9    
   d00153    :     2    
   d04572    :     1    
   a10873    :     3    
   c00109    :     11    
   d04248    :     2    
   d06665    :     4    
   d00842    :     1    
   d03318    :     1    
   c00115    :     1    
   d03485    :     1    
   d04878    :     12    
   a10978    :     12    
   d00004    :     228    
   d04228    :     1    
   d00876    :     5    
   d03180    :     30    
   a11000    :     1    
   d00110    :     28    
   d03041    :     14    
   d03394    :     1    
   d00352    :     11    
   a11315    :     2    
   d01215    :     1    
   d00391    :     1    
   d01298    :     6    
   d04825    :     92    
   d03788    :     1    
   d04382    :     3    
   a50912    :     10    
   d01376    :     4    
   d03189    :     1    
   a57210    :     3    
   d00325    :     189    
   d00796    :     7    
   d00106    :     1    
   c00102    :     7    
   d00780    :     1    
   d00848    :     98    
   d05807    :     24    
   a11238    :     1    
   a10971    :     3    
   n09039    :     2    
   d04452    :     2    
   d00628    :     2    
   d00088    :     405    
   d03808    :     3    
   d03445    :     3    
   d04331    :     1    
   d04461    :     3    
   d03866    :     6    
   d00059    :     97    
   d00609    :     23    
   d01279    :     7    
   d00440    :     2    
   d05817    :     31    
   d00034    :     1    
   d04411    :     1    
   c00899    :     2    
   d00081    :     5    
   a57052    :     1    
   d04270    :     11    
   d05819    :     1    
   d04917    :     4    
   d03204    :     2    
   d04881    :     2    
   a10915    :     1    
   d01005    :     2    
   d00169    :     2    
   d01135    :     1    
   a50770    :     60    
   a54655    :     34    
   d03781    :     60    
   d03570    :     3    
   d04266    :     1    
   a54445    :     1    
   d00050    :     50    
   a11135    :     7    
   d05529    :     10    
   d05218    :     4    
   d04040    :     73    
   a10348    :     1    
   d01272    :     4    
   a10900    :     5    
   c00143    :     1    
   a11764    :     1    
   d00626    :     5    
   c00082    :     2    
   a11396    :     5    
   c00096    :     3    
   d04703    :     7    
   d00966    :     5    
   d00239    :     1    
   d04300    :     54    
   a11484    :     1    
   d03655    :     3    
   d00046    :     17    
   d04049    :     2    
   d03238    :     31    
   d01387    :     2    
   c00220    :     13    
   a11689    :     3    
   d04284    :     18    
   d03222    :     11    
   d03052    :     42    
   a11717    :     1    
   d00689    :     194    
   d04221    :     1    
   d04138    :     2    
   c00127    :     5    
   a11082    :     6    
   d03977    :     9    
   a10442    :     3    
   d00079    :     2    
   d04299    :     54    
   a11429    :     2    
   a56345    :     1    
   d00181    :     161    
   a54275    :     2    
   d00570    :     4    
   d07113    :     35    
   d04504    :     27    
   d04778    :     1    
   d03379    :     13    
   d01233    :     1    
   a11441    :     1    
   d04740    :     7    
   d03160    :     38    
   a11525    :     2    
   d00144    :     21    
   c00169    :     64    
   d04823    :     1    
   d04131    :     2    
   d00178    :     1    
   d00371    :     9    
   a11034    :     1    
   a54575    :     12    
   d00192    :     1    
   d03832    :     48    
   d04014    :     1    
   a53940    :     57    
   d03824    :     2    
   d04063    :     1    
   d04256    :     81    
   d03707    :     1    
   d04749    :     115    
   d00853    :     6    
   d03884    :     2    
   d04771    :     8    
   d04220    :     66    
   d03241    :     10    
   a10831    :     1    
   d00286    :     2    
   c00174    :     5    
   d04888    :     1    
   a10715    :     1    
   a11730    :     14    
   d03347    :     4    
   d00405    :     5    
   d01234    :     1    
   d00016    :     14    
   d07464    :     41    
   d04219    :     1    
   d03192    :     2    
   d03357    :     11    
   c00254    :     6    
   d03247    :     3    
   d06831    :     5    
   d04003    :     3    
   a10051    :     3    
   d00438    :     20    
   d04105    :     274    
   d03110    :     158    
   a10963    :     1    
   d03145    :     3    
   d01242    :     5    
   a11320    :     2    
   d00210    :     41    
   n08004    :     15    
   d05473    :     1    
   c00110    :     216    
   d00039    :     16    
   a11748    :     18    
   d00340    :     8    
   d04776    :     5    
   n08236    :     1    
   a10463    :     2    
   a10961    :     1    
   a11291    :     3    
   a57034    :     1    
